id,section,departure_min,arrival_min,passengers,priority
TRAIN_001,A,600,660,650,high
TRAIN_002,B,630,690,650,high
TRAIN_003,C,660,720,650,high
TRAIN_004,A,720,780,650,high
TRAIN_005,B,750,810,650,high
TRAIN_006,C,780,840,650,high
TRAIN_007,A,840,900,650,high
TRAIN_008,B,870,930,650,high
TRAIN_009,C,900,960,750,high
TRAIN_010,A,930,990,750,high
TRAIN_011,B,960,1020,750,high
TRAIN_012,C,990,1050,750,high
TRAIN_013,A,1020,1080,750,high
TRAIN_014,B,1050,1110,750,high
TRAIN_015,C,1110,1170,50,low
TRAIN_016,A,1140,1200,50,low
TRAIN_017,B,1170,1230,50,low
TRAIN_018,C,1200,1260,50,low
TRAIN_019,A,1260,1320,350,medium
TRAIN_020,B,1290,1350,350,medium
